product_description,product_type,sentiment
Scored a signed print of the Jules Verne Google Doodle. Thanks @mention #sxsw #googledoodle {link},9,2
"AOLÛªs Mobile-First Group Steps To The Stage With Play, An Instagram For Music {link} #Android #AOL #iPhone #SolLipman #SXSW",9,2
Spotted: Google Maps Street View car! I wonder if I'll be able to find myself on the maps one day. #sxsw {link},5,3
The Apple pop-up store line finally dwindled. Time to check out iPad2. #sxsw,6,3
Apple unveils iCarRadio at South by Southwest: {link} #apple #sxsw {link},9,2
Whoa - line for ipad2 is 3blks long!!! #apple #Austin #SXSW,9,3
RT @mention #sxsw @mention #devops: @mention &quot;The Internets is Mean/Our Systems Are Complex; go Google 'How complex systems fail by doctor&quot;,9,0
"RT @mention At #SXSW? Your #Chaos mission is to download @mention app, check-in &amp; start playing to redeem prizes @mention Austin hot spots! {link}",9,2
Google's Marissa Mayer - she is awesome! #SXSW #MarissaGoogle  {link},3,3
RT @mention The ironic tee has been usurped by the iPad 2 as the hipster/geek/start-up chic fashion item at this year's #SXSW,6,3
"Before it even begins, Apple wins #SXSW {link}",2,3
RT @mention We're not launching any products at #SXSW but we're doing plenty else. {link} &lt;&lt; no circles or new apps ftrs?,9,2
Picked up a Mophie battery case 4 my iPhone in prep for #SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.,8,3
"Cool! RT @mention Apple has opened a makeshift store for #sxsw, iPad2 will be available at 5pm today... #tempted",9,2
@mention I have a feeling there will be many shiny new iPad 2s at #sxsw!,6,3
#sxsw: @mention What if Google asks you &quot;why do you want to know that&quot;?,9,2
Apple is opening up a temporary store in downtown Austin for #SXSW &amp; iPad 2 launch. {link}  Source: Statesman.com,9,2
Totally love the copia cocoon messenger iPad bag I picked up for attending the redbox/gilt group/graphic.ly sesh this morning! #sxsw,4,3
"Hmmm RT @mention RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",9,2
"RT @mention Use question/answer, ask/receive kind of model in iPad app design. Give and take. Entice them to ask more. @mention #tapworthy #sxsw",9,2
"RT @mention ÷¼ Happy Woman's Day! Make love, not fuss! ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter",9,2
So  #sxsw supposedly has a mobile apple store that will pop up and open at 3 ish?,9,2
"Google's Zeiger, a physician never reported potential AE. Yet FDA relies on physicians. &quot;We're operating w/out data.&quot; #sxsw #health2dev",9,2
yup. RT @mention @mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;,2,3
Google supposedly announcing new Social Networking service called &quot;circles&quot; today at #sxsw {link},9,2
Updated NPR Music iPhone app has song info for All Songs 24/7 &amp; live video streaming just in time for #SXSW {link},7,3
RT @mention come over to the Tech Cocktail event tonight to check out our Mobile Smackdown event! #sxsw #iphone #android #windowsphone,9,2
Google Hot Pot - what the whattt pot....#SXSW,5,2
Looks like I was an hour late for getting an ipad. #SXSW #sadpanda,6,2
"RT @mention #sxsw @mention omitting Flash on Apple seems effective, even though they have h264 - maybe we do need to break old things #browserwars",2,3
Of course the seo Q&amp;A w/ google and bing panel is packed..yet they put it in a tiny room. #sxsw,9,2
Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,9,2
@mention and I did a &quot;south by&quot; drive-by for this baby!! What an adventure!! #sxsw #iPad #fb  {link},9,2
iPhone too old for #SXSW schedule app. Oh noes.  #rejection,8,1
"Hoping that it will be easier to get an iPad 2 today, since 50% of the target audience is busy at #sxsw #awesometiming",6,3
Here is the video I took with my iPhone of @mention in Super #SXSW  {link},9,2
what omfg means please? {link} Webber iPad #sxsw Dionne Warwick,9,2
Thats the one i want to get when it hits canada.RT @mention #sxsw ipad store sold out of everything except 64gig wifi only white,9,2
Niceness RT @mention Less than 2 hours until we announce the details on the iPad 2 giveaway! #SXSW #SXSWi,6,3
#SXSW hire qualified and talented women consciously early on in #startups to achieve success - Google did!,3,3
"RT @mention Tweet this to register for exclusive passes to events, parties + iPad 2 during #SXSW - &quot;Give mÛ_ (cont) {link}",9,2
"Very true. RT @mention @mention Dude there's earthquakes,  tsunamis, iPad 2 and #SXSW. Get with it.",9,2
"It's a model for one, not for all. RT @mention #sxsw &quot;apple comes up with cool tech no one's ever heard of cuz they don't go to conferences&quot;",2,3
Why Barry Diller thinks iPad only content is nuts @mention #SXSW {link},9,0
Setting up my iPad2 - very swift and upbeat service this morning at the #SXSW Apple pop-up store.,6,3
Forget samplers. Download the unofficial #SXSW torrent: {link},9,2
"Sweet! RT: @mention RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",5,3
@mention this time next week Google party at #SXSW!,3,3
RT @mention RT @mention Marissa Mayer: #Google Will Connect Digital &amp; Physical Worlds Through #Mobile {link} #sxsw,9,2
@mention I'm in the #touchingstories #iPad and/or #tablet #SXSW  workshop. Would LOVE to chat afteward!,9,2
RT @mention ..only 9? #SXSW right-brain #mwrc11 left-brain?? :) RT @mention @mention at #SXSW 9 out of 10 attendees have Mac or iPad,6,3
iPad 2 Gets Temporary Apple Store for SXSW {link} #Apple #AppleStore #iPad2 #SXSW #Verizon,9,2
RT @mention ÛÏMore than 35 million miles a day are driven while being Google Maps Navigation assisted.&quot; --Marissa Mayer #sxsw  [The GPS biz is so toast.],9,2
Apple to have a pop-up store at South by South West: {link} #sxsw,9,2
RT @mention Quantter is launching an iPhone app soon. We're participating in the LaunchRock comp at #sxsw {link},9,2
"Surprising or not surprising that you can type #sxsw on your iPhone perfectly? No autocorrect, no nothin'.",9,2
RT @mention @mention from Google taking the mic  #health2dev  #SXSW,9,2
"Awkward JC Penneys question asked to Marissa Mayer, apparently JC Penney locations are being re-routed to Macys in Google maps? #SXSW",9,2
Gamechanger like Wave and Buzz no doubt RT @mention Google to Launch Major New Social Network Called Circles {link} #sxsw,5,1
"Details for the iPad 2 giveaway coming tonight, RT this! #SXSW #sxswi",9,2
Pop-up Apple Store to sell ipad2 at #SxSW. The line is insane!  {link},9,2
Will Google Circles take on Facebook?  {link} #circles #sxsw,9,2
RT @mention forward to delicious T-Mobile 4G here in Austin while iPhone users struggle to do anything. #SXSW,8,1
"Google Circles' Looms, But Do Google's Nerds 'Get' Social? #SxSW | @mention {link} via @mention",9,2
Crowley and Cashmore think iPad 2 is a minor step up. Tell that to the people standing in line at #SXSW Apple pop-up store! #checkins,6,3
"RT @mention I just fell asleep for 2 hours with my eyes open, staring into the #SXSW stream on my iPad 2. {link}",6,3
no no no... my bad its lady XD {link} #sxsw iPad Rebecca Black Jurassic Park,9,2
ATTN @mention  RT @mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},9,2
"@mention Oh, oh, oh! Does the iPad come with my #sxsw badge? @mention",9,3
At the iPhone dev meetup #SXSW,9,2
Just had a really great #mophie experience at #sxsw -a user for over 3 months I highly recommend their iPhone 4 battery #goodcustomerservice,8,3
Speaking of #sxsw: how about that #apple store on 6th and congress? Wouldn't it be great if it were permanent....? ;),2,3
RT @mention The iPad 2 Takes Over SXSW [VIDEO] {link} #apple #iPad #SXSW,9,2
RT @mention @mention just saw you at lax I'm heading to #Sxsw  If you or your wife have an iPhone or iPad download my app #Freespeech @mention,7,3
RT @mention : Aron Pilhofer from The New York Times just endorsed HTML over iPad at the #NewsApps #sxsw and asked us not to tweet...,9,2
Apple is opening a temporary store in Austin for #SXSW. Because people obviously want to shell out $1500 for a MacBook.,2,1
"Did you miss Google's VP of Search, Marissa Mayer last week? Listen to the interview here  {link} #SXSW",9,2
Heading to iPad Design Headaches in Hilton - Salon J #sxsw,9,1
RT @mention 40% of Google maps use is mobile #sxsw,9,3
Google handing out free pi for pi day! #SXSW #win,3,3
"Restored my Apple made smart phone, because I'm about to unleash hell on it at #SXSW.",2,3
Apple'd :s &gt; #sxsw #ipad2 @mention @mention @mention and Austin from Austin's pop up Apple store :))) {link},9,2
"@mention Hey Eric, it was at a pop-up Apple store here at #SXSW -- nice long line of tech-savvy folks ready to spend hard-earned $",2,3
#google real time location data as a layer on google earth gives breathtaking visual data #SxSW,5,3
RT @mention P.S. @mention and Google throw a b!tchin' party. Shout out to The Spazmatics #sxsw,3,3
"Trying to decide what session to attend at #sxsw, but Marissa Meyer @mention later today is a given.",9,2
"Hey if you're at #sxsw, try out the early iPhone/android beta of Hitchery and let us know what you think! {link}",9,2
.@mention Team Android at #SXSW party details {link} &lt;---Note video of @mention showing how close Rainey St is to ACC,9,2
"#technews At SXSW, Apple schools the marketing experts {link} #Tech_News #Apple #Jobs_Co #SXSW #tech",2,3
Apple brought in 5 employees from each store in Texas to staff the popup store. #SXSW,9,2
RT @mention Google Launching Secret New Social Network Called &quot;Circles&quot; #SXSW,9,2
Optimistic #Ohio #SXSW. Google pay per click management.   {link},9,2
"RT @mention RT @mention Google to Launch Major New Social Network Called Circles, {link} #sxsw #nptech",5,3
&quot;She's the iPad DJ working the Etsy party.&quot; #realtalk #sxsw,9,2
RT @mention Win free iPad 2 from webdoc.com #sxsw RT,9,2
@mention @mention Great to meet you @mention meetup! This is the post about our new #sxsw medical apps {link} #sxswh #hcsm,9,2
"RT @mention Thanks for the free #SXSW mix :) RT @mention ... 20+ artists you have to hear, free sampler {link}",9,2
Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,9,2
RT @mention App is called 'your hands' #sxsw RT @mention Need an app to turn my iPhone into a wifi mouse for my iPad. Exist?,9,2
Open graph did repair the damage google did to the title tag. #sxsw #microformats,3,1
"RT @mention IPad, tablet, etc are aiding in greater adoption of mobile devices because screen size is larger #mobilefarm #SXSW",6,3
I just watched &quot;iPad Design Headaches&quot; at #SXSW. Buttons are a hack.  #tapworthy,6,1
I'd say 75% of booths at this tradeshow are waffling off an iPad 2. About the same portion have reps dressed up as crazy characters. #SxSW,9,2
RT @mention #sxsw ipad store sold out of everything except 64gig wifi only white,6,1
RT @mention Google could = search engines. Google instead = useful information. #savebrands #sxsw,9,2
"Nadya Direkova, @mention riffs on sid meier - user engagement w/ game mechanics - you canÛªt over reward the user in first 10 minutes  #sxsw",9,2
"IPAD FOUND!!! My friend Jeff has it!!!! #SXSW thanks to everyone who helped, especially @mention",6,3
Mingly Apple TV a Day Giveaway! Register to win at #SXSW #Winning {link},9,2
Really tempted to get the iPad 2 #sxsw,6,3
"RT @mention Yes, there's a line in front of the all-but-confirmed pop-up Apple Store at #SXSW. {link}",9,2
RT @mention Has spontaniety in life been replaced by technology? When your iPhone battery dies you go home. Great ? At #busy #sxsw,9,0
@mention I'd say yes. Facebook and Google are implementing it which brightens the future. Good impact I'm search too. #sxsw,3,3
"#sxsw: @mention intrvw @mention &quot;Schmidt [Google CEO] told me: u'r good at telling stories; go talk to lots of ppl, tell us what u hear&quot;",9,2
RT @mention Must see #android app at #sxsw &quot;Bizzy&quot; {link},9,3
RT @mention Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads. {link},9,2
Google #h4ckers audience 95% male- devs are smart (&amp; easy when there's free alcohol) ;) #SXSW  @mention Speakeasy {link},9,2
@mention ahoy! let your readers know we'll keep em updated #sxsw parties w/ #eventseekr. Android: {link} iPhone app on way,9,2
2wks only Apple Store in 6th Austin street is now opened. #sxsw,9,2
Wonder when Google's #impactdashboard (being demoed now) will become part of Google Analytics #bavcid #SXSW,9,2
"Before It Even Begins, Apple Wins SXSW {link} &lt;&lt; who will win big at #SXSW ?",2,3
@mention  It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch bit.ly/g03MZB,9,2
The Memento iOS app is on sale for 99å¢ for #SXSW ÷Ý Wait Just One MomentoÛ_ Let Social Media Create Your Diary {link} #iPhone,9,2
"RT @mention Epicurious, flipboard, CNN, wired, and MOMA as examples of good iPad design #SXSW  {link}",7,3
"A full house. Apparently more people care about their Google rankings than synthetic life. Tsk, tsk people. #qagb #sxsw",9,2
My #sxsw 2011 new iPhone app page. What's missing? See any breakouts? {link},9,2
"If you attended Mobile Accessibility panel at #sxsw Would be interested in what you learned, esp. about access for the blind, Android, etc.",9,2
Google take 3. Google Circles may be announced today at #SXSW. Their third try at #SocialNetworking. {link},9,2
Of course! RT @mention #sxsw ipad store sold out of everything except 64gig wifi only white,9,2
Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,9,2
Fantasy Bracket Challenge &amp; iPad 2 GiveAway {link} via #constantcontact #SXSW #MarchMadness #SelectionSunday,9,2
RT @mention So #SXSW is cool. I strike up a conversation with a bloke who happens to work for The Guardian &amp; a few hours later... {link},9,2
RT @mention Google Circles launching today at #SXSW? New #Facebook killer???? {link},9,2
Congratulation! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw,1,3
RT @mention Apple selling iPad 2 at #sxsw. California is great at building cult followings. {link},9,2
RT @mention We're at Lustre Pearl for #teamandroidsxsw cause we love our Android geeks! #sxsw {link},0,3
[Just FYI...] BREAKING: Google to Launch Major New Social Network Called Circles...Today? {link} via @mention #sxsw #socialmedia,3,3
Hope it's better than wave RT @mention Buzz is: Google's previewing a social networking platform at #SXSW: {link},9,0
Crowd control at the Apple pop up #sxsw  {link},9,2
Another reason to go to Austin: #Apple to open a #SXSW popup store {link},2,3
RT @mention Come celebrate w/ Charity Water tonight! (Google is throwin the party). Jump start your #sxsw week off right! studentsforcleanwater.org/rsvp,3,3
Attn: dude using new iPad as a camera in the middle of an overcrowded #sxsw presentation. You rock. #fail,6,2
Yikes. Google is launching 'Circles' today at #sxsw? {link},9,0
"Helping you clean up and organize all of your news/content, @mention does a great job for you #iPad owners. #sxsw #SXSWi",7,3
ÛÏ@mention So @mention just spilled the beans: next platform for Flipboard is the iPhone. Team started working on it. #sxflip #SXSW #SXSWiÛ,9,2
I'm watching &quot;Designing iPad Interfaces - New Navigation Schemas&quot; at #SXSW. #UXDes,9,2
#Apple to open pop up store at #SXSW in time for #ipad2 sales {link},9,2
The hive of innovation but yet every booth at the #SXSW trade show had the exact same promotional idea: iPad 2 Raffle!,9,0
21 free tracks on iTunes from #SXSW featured artists: {link} (via @mention,9,2
so who's gonna be getting an ipad2 from the apple store today? - bet the que is getting bigger? #sxsw #ipad2 bet @mention will! :),6,3
It's madness already downtown and it's only the 1st day of #sxsw. apple popup store seems to be doing brisk biz,2,3
This is very cool. Potential of non-text applications on iPhone. Awesome. #sxsw,7,3
RT: @mention Now online: First iPad 2 in the Wild at #SXSW {link},6,3
"RT @mention Did... what my mom might call The Big at #SXSW. Power plant, CNN, Google, and offchain set by Trombone Shorty at PBS.",9,2
"RT @mention Google looks to the future with mobile, location-based devices | {link}  #SXSW",9,2
Apple marketing is still impressive at #SXSW RT@mention {link},2,3
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",9,2
Win free ipad 2 from webdoc.com #sxsw RT,6,3
Made it in time for the @mention podcast! Strange that my iPhone corrects @mention to &quot;nostalgic.&quot; #SXSW,9,2
"&quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",3,3
"Tim O'Reilly his Web 2.0 definition - companies that survived built value from consumer-generated data. eBay, Amazon, Google. #sxsw",9,2
"RT @mention Developers Learn About Mobile Accessibility at #sxsw, Android 3.0 to Include Browser Access #a11y2go {link}",9,2
Checking out iPad Design Headaches (author Josh Clark) #Tapworthy #SXSW,9,2
Anyone in line at the temporary Apple Store in Austin has any idea till how late they'll be open tonight? #sxsw,9,2
Mike Tyson wants to be an iPhone knockout | #SXSW - CNET Blogs {link},8,3
Have Google launched their next social media flop yet? #sxsw,5,1
RT @mention Hot Pot from Google for mobile maps is a 'very' interesting new app. #sxsw #sxswi,1,3
Mad mad lines still at the #SXSW Apple pop up store here in Austin #ipad2,2,1
"Apple's pop up shop on Lavaca and 6th #sxsw yes, the line wraps around the block (@mention Apple Store, SXSW) {link}",9,2
&quot;You can Google Canadian Tuxedo and lose yourself for hours&quot; #sxsw,9,3
"Finally got a new iPhone 4 so I can tweet from my phone again! Just in time for #SXSW Gah, this has been torture. #addictedtotheinterwebs",8,3
It was a plane full of Gogglers! And it was Google marketer who told a friend he liked community reading newspapers brings!  #sxsw,3,3
@mention strikes a pose &amp; hopes to win an  iPad. #sxsw {link},9,2
I just realized that I havnt used my laptop since Thursday. Pure #iPhone with a sprinkle of the #iPad2 on top. #Apple #SXSW,8,3
#Google Will Connect the #Digital &amp; Physical Worlds Through #Mobile {link} via @mention  #sxsw,9,3
Apple to open iPad2 popup shop @mention core of SXSW action. Brilliant to bring hot shiny new toy to #SXSW peeps {link},6,3
Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weÛªll make you one!,9,2
"free #iPad Lounge open daily for #SXSW serving art made on iPads, and local art, free coffee, @mention Austin Details {link} #photo",9,2
"Apparently, if you Google &quot;ad preferences&quot; and you'll see what Google thinks you'll like. #seenocreepy #sxsw",9,2
RT @mention Google &quot;ad preferences&quot; and you can view (and edit) what Google thinks you like. #seenocreepy #SXSW,9,2
Does apple stay in downtown Austin? I think yes. @mention Apple's popup #SXSW store - Detail belies 2wk lifespan {link},9,2
The queue at the apple pop-up store #sxsw {link},9,2
Sounds like Buzz rebranded w/an inner circle  RT @mention Google to Launch New Social Network: &quot;Circles&quot; {link} #sxsw,3,3
Hey #sxsw presenters &amp; attendees! Here are tips on how to show presentations on the #iPad and #iPhone {link},9,2
"Check out Your Mom Has an iPad: Designing for Boomers at SXSW.
{link} #SXSW",6,3
grabbed a seat in ballroom d to hear @mention from Google #SXSW,3,3
Is Google about to have another go at social with &quot;Google Circles&quot;? #sxsw #google,9,2
Nice RT @mention Apple to open pop-up store at SXSW Festival {link} #SXSW #ipad #mac,9,3
Maybe @mention is trying to calculate how much money Mahalo is losing from the Google Farmer update #sxsw,5,2
"RT @mention Well hello, #SXSW! Here's a free iTunes sampler, to celebrate the festival this year: {link}",9,2
Nice! RT @mention knitted staircase in attendance at #sxsw party tomo 7pm hosted by @mention &amp; @mention {link},9,2
Badger @mention on Angel News #sxsw {link} - nice one. Also we're giving away a free iPad 2 - {link} #contest,9,3
RT @mention Platform for Concertgoers Launches Android App in Time for SXSW - {link} #sxsw,9,2
RT @mention I'll be helping @mention at 12:30 for the Twitter for Good at #sxsw at Icenhaur's. Come and join us  {link},9,2
"RT @mention Hello #sxsw ppl if U wnt 2 share mobile vid @mention the show download {link} share 2 mobile friends, tweet, etc #client",9,2
@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,9,3
"RT @mention Arriving in the US for #sxsw, will be looking for a MicroSIM for data in my iPhone // recommendations @mention",9,2
First day at sxsw.  Fun final presentation on Google Doodles.  #GoogleDoodle #sxsw,9,3
"Buying iPad2? Turn in ur iPad1, Apple store wipes it clean, donates to schools. Mrs. Jobs idea. #Apple #iPad2 #SXSW",2,3
#SxSW - Downtown Austin Apple Store: Congress &amp; West 6th Street. (answered my own question the old fashion way... I googled it).,9,2
I like it RT @mention @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky #911tweets panel #SXSW.,3,3
"RT @mention Apple Pop Up Store for #SXSW, Why not Pop Up Genius Bars - Everywhere?",2,3
RT @mention The Big Idea: Google leaves nothing left to discover {link} #SXSW #SXSWi,9,2
"RT @mention If you attended Mobile Accessibility panel at #sxsw Would be interested in what you learned, esp. about access for the blind, Android, etc.",9,2
RT @mention UBER BRAND SMART: Gonna move a ton of iPad2 - #Apple opening a popup shop in Austin for #SxSW  {link} via@mention @mention,9,2
Pengen jdnya RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored (cont) {link},9,2
SXSW Quotables are giving away an iPad 2 today - all you need to do is sign up at {link} to be entered automatically. #sxsw,9,2
"RT @mention OH .. #vimeo: iPhone app submitted to store, will have smart upload to continue where left if service drops. #li #sxsw #video",9,2
I have a girl crush on google's Marissa Mayer. But who doesn't? #sxsw,9,2
"HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link}",9,2
#sxsw is exposing my iphone's horrendous battery life.,8,1
RT @mention Anybody seen if the 6th St Apple store is up yet? #sxsw,9,2
"RT @mention #LolShow Podcast w/ @mention @mention @mention on Android security, #SXSW, #DickBar, IE6, &amp; iPad2 {link}",9,2
Are you attending the #SXSW and want to explore #Austin ? Check out @mention for Austin {link} (via @mention,9,2
"deviantART buys 3 iPad 2's in Austin, tests Muro drawing, it's super fast!! #deviantART #SXSW {link}",6,3
The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link},6,3
